Problem,Step size (h),Max Error (2nd order),Max Error (3rd order)
problem1,0.1,0.0020521698745005618,0.0025212728554363795
problem1,0.05,0.0004797205028088669,0.0005341477190539401
problem1,0.01,1.8258780550894915e-05,1.867036426014823e-05
problem1,0.001,1.8065791246302254e-07,1.8106455265676225e-07
problem2,0.1,0.004200981850821073,0.0029728909700028616
problem2,0.05,0.0010907741041608077,0.0009292288571716156
problem2,0.01,4.49658990882007e-05,4.362030388849192e-05
problem2,0.001,4.5270728232793545e-07,4.5134949999692253e-07
problem3,0.2,0.006665427474468633,0.01065531050421753
problem3,0.1,0.0016662236823470344,0.002165297282839651
problem3,0.05,0.0004166766656863441,0.0004791615529369242
problem3,0.01,1.6666683874788646e-05,1.7166670925661265e-05
problem3,0.001,1.6666666091680327e-07,1.6716666095817345e-07
